,Título,Endereço,Número,Bairro,Cidade,Estado,Área,Quartos,Banheiros,Vagas,Preço
4385,"Apartamento com 2 Quartos à Venda, 51m²",Rua Dulcídio Teixeira de Lara,60,Cidade Industrial,Curitiba,PR,51,2,1,1,R$ 185.900
4386,"Apartamento com 3 Quartos à Venda, 81m²",Avenida Presidente Affonso Camargo,1773,Cristo Rei,Curitiba,PR,81,3,2,1,R$ 815.800
4387,"Apartamento com 2 Quartos à Venda, 54m²",Rua Lothario Boutin,405,Pinheirinho,Curitiba,PR,54,2,1,1,"R$ 220.000
                        
Preço abaixo do mercado"
4388,"Apartamento com  Quarto à Venda, 29m²",Avenida República Argentina,3165,Portão,Curitiba,PR,29,1,1,--,R$ 242.351
4389,"Apartamento com 3 Quartos à Venda, 128m²",Rua Teixeira Soares,N/I,Batel,Curitiba,PR,128,3,1,1,R$ 1.881.306
4390,"Apartamento com 2 Quartos à Venda, 51m²",Rua Tenente Francisco Ferreira de Souza,1922,Boqueirão,Curitiba,PR,51,2,1,1,R$ 306.000
4391,"Apartamento com 3 Quartos à Venda, 161m²",Rua Buenos Aires,630,Batel,Curitiba,PR,161,3,3,1,"R$ 700.000
                        
Preço abaixo do mercado"
4392,"Apartamento com 3 Quartos à Venda, 79m²",Rua Pedro Gusso,12,Novo Mundo,Curitiba,PR,79,3,2,1,R$ 535.000
4393,"Apartamento com 3 Quartos à Venda, 85m²",Rua Pará,1306,Água Verde,Curitiba,PR,85,3,2,1,R$ 721.000
4394,"Apartamento com 2 Quartos à Venda, 53m²",Rua Francisco Zanicotti Sobrinho,234,Santa Cândida,Curitiba,PR,53,2,1,1,R$ 320.000
4395,"Apartamento com 2 Quartos à Venda, 56m²",Rua Paranaguá,589,Água Verde,Curitiba,PR,56,2,2,1,R$ 650.000
4396,"Apartamento com 3 Quartos à Venda, 87m²",Rua Vinte e Nove de Junho,207,Bacacheri,Curitiba,PR,87,3,2,1,R$ 725.373
4397,"Apartamento com 2 Quartos à Venda, 44m²",Avenida Luiz Xavier,68,Centro,Curitiba,PR,44,2,1,--,R$ 215.000
4398,"Apartamento com 2 Quartos à Venda, 45m²",Rua Monsenhor Ivo Zanlorenzi,N/I,Mossunguê,Curitiba,PR,45,2,1,1,R$ 435.100
4399,"Apartamento com 2 Quartos à Venda, 58m²",Rua da Paz,37,Centro,Curitiba,PR,58,2,2,1,R$ 665.000
4400,"Apartamento com 3 Quartos à Venda, 94m²",Avenida Água Verde,N/I,Água Verde,Curitiba,PR,94,3,2,1,R$ 420.000
4401,"Apartamento com 2 Quartos à Venda, 69m²",Rua Engenheiros Rebouças,2621,Rebouças,Curitiba,PR,69,2,1,2,R$ 680.000
4402,"Apartamento com 2 Quartos à Venda, 72m²",Rua Alberto Potier,30,Boa Vista,Curitiba,PR,72,2,2,1,"R$ 542.000
                        
Preço abaixo do mercado"
